Suburb,Crashes Since 2020,Population (2021 Census),Mobile,DDS,Fixed,Total,Median_Personal_Inc_Weekly,Gender_Ratio_M_F,Vehicles_0,Vehicles_1,Vehicles_2,Vehicles_3,Vehicles_4plus,Total_Vehicles,Percentage no vehicle,Lab_Force_Participation_Pct,Top_Non_AU_Ancestry_Pct,Tram Stops,V-Line Train,Bus Routes,Bus Stops.1,Metro Train,Train Lines,lgaregion,Cameras_Per_1000,Schools_Total,Schools_Govt,Schools_Primary,Schools_Secondary
MILDURA,333.0,34565.0,21.0,8.0,1.0,30.0,681.0,0.9274,990.0,5007.0,4772.0,1500.0,740.0,13007.0,7.6,55.5999984741211,35.5,0.0,0.0,11.0,257.0,,,Mildura,0.87,10,6,5,3
RESERVOIR,645.0,51096.0,17.0,0.0,0.0,17.0,741.0,0.9773,2243.0,8984.0,6182.0,1621.0,852.0,19888.0,11.3,60.0999984741211,19.2,20.0,0.0,12.0,301.0,3.0,1.0,Darebin,0.33,11,8,7,2
ST ALBANS,843.0,38042.0,17.0,0.0,0.0,17.0,491.0,1.0126,1259.0,4820.0,3858.0,1466.0,653.0,12055.0,10.4,48.7000007629395,25.7,0.0,0.0,9.0,127.0,3.0,1.0,Brimbank,0.45,13,10,10,2
HAMILTON,81.0,10346.0,16.0,2.0,0.0,18.0,693.0,0.9218,278.0,1581.0,1532.0,556.0,324.0,4270.0,6.5,56.0,41.1,0.0,0.0,4.0,71.0,,,Southern Grampians,1.74,9,5,4,2
ARARAT,74.0,8500.0,15.0,4.0,0.0,19.0,681.0,1.1373,245.0,1213.0,1088.0,372.0,236.0,3149.0,7.8,48.4000015258789,37.7,0.0,1.0,4.0,60.0,,,Northern Grampians,2.24,6,4,4,2
WANGARATTA,52.0,19214.0,15.0,4.0,0.0,19.0,700.0,0.8893,548.0,3082.0,2846.0,769.0,401.0,7651.0,7.2,55.9000015258789,42.7,0.0,1.0,5.0,113.0,,,Wangaratta,0.99,12,6,7,2
SALE,59.0,14296.0,13.0,5.0,1.0,19.0,701.0,0.9195,416.0,2290.0,2124.0,579.0,282.0,5697.0,7.3,55.0999984741211,40.9,0.0,1.0,8.0,67.0,,,Wellington,1.33,9,5,5,2
WERRIBEE,288.0,50027.0,13.0,4.0,0.0,17.0,760.0,0.9668,1124.0,6681.0,6559.0,1963.0,1036.0,17360.0,6.5,62.0999984741211,25.5,0.0,0.0,15.0,244.0,1.0,1.0,Wyndham,0.34,17,12,10,5
WODONGA,310.0,20259.0,13.0,5.0,1.0,19.0,758.0,0.944,504.0,3058.0,3075.0,952.0,436.0,8025.0,6.3,60.0999984741211,38.7,0.0,1.0,4.0,43.0,,,Darebin,0.94,9,5,4,2
CRAIGIEBURN,267.0,65178.0,12.0,0.0,0.0,12.0,700.0,1.0115,638.0,5995.0,7995.0,2653.0,1364.0,18648.0,3.4,62.5,12.5,0.0,1.0,13.0,200.0,1.0,1.0,Whittlesea,0.18,11,10,7,2
MANSFIELD,59.0,5541.0,12.0,0.0,0.0,12.0,758.0,0.927,81.0,711.0,833.0,326.0,185.0,2134.0,3.8,58.2999992370606,43.1,0.0,0.0,1.0,1.0,,,Unincorporated Vic,2.17,5,2,2,1
MELTON,95.0,7953.0,12.0,1.0,0.0,13.0,539.0,0.9935,286.0,1311.0,899.0,302.0,157.0,2959.0,9.7,45.5999984741211,28.8,0.0,0.0,6.0,59.0,,,Macedon Ranges,1.63,8,4,3,3
PAKENHAM,421.0,54118.0,12.0,5.0,0.0,17.0,783.0,0.9515,660.0,6405.0,7584.0,2300.0,1234.0,18185.0,3.6,65.1999969482422,33.5,0.0,2.0,6.0,150.0,2.0,2.0,Cardinia,0.31,11,8,7,2
SEYMOUR,11.0,6569.0,12.0,6.0,0.0,18.0,633.0,0.9834,229.0,1013.0,884.0,315.0,171.0,2609.0,8.8,51.2999992370606,38.6,0.0,1.0,6.0,52.0,,,Murrindindi,2.74,2,1,0,0
WARRNAMBOOL,274.0,31308.0,12.0,5.0,1.0,18.0,749.0,0.9196,748.0,4801.0,4754.0,1395.0,680.0,12379.0,6.0,60.0999984741211,41.0,0.0,2.0,9.0,164.0,,,Moyne,0.57,10,7,5,3
HORSHAM,81.0,15134.0,11.0,7.0,0.0,18.0,748.0,0.9226,465.0,2419.0,2323.0,740.0,283.0,6229.0,7.5,58.4000015258789,41.2,0.0,0.0,6.0,115.0,,,Horsham,1.19,7,4,3,2
FRANKSTON,76.0,37331.0,11.0,0.0,2.0,13.0,743.0,0.953,1345.0,6384.0,5267.0,1358.0,595.0,14953.0,9.0,58.7000007629395,39.6,0.0,0.0,23.0,214.0,2.0,2.0,Frankston,0.35,15,12,9,3
GOLDEN SQUARE,0.0,9220.0,11.0,1.0,0.0,12.0,721.0,0.8847,228.0,1452.0,1387.0,439.0,193.0,3695.0,6.2,58.7000007629395,42.9,0.0,0.0,4.0,65.0,,,Greater Bendigo,1.3,2,2,2,0
MALVERN EAST,138.0,22296.0,11.0,0.0,4.0,15.0,1060.0,0.952,697.0,3247.0,3098.0,806.0,389.0,8234.0,8.5,67.0999984741211,30.3,38.0,0.0,15.0,87.0,2.0,1.0,Glen Eira,0.67,5,3,4,0
PORTLAND,70.0,10016.0,11.0,0.0,0.0,11.0,617.0,0.9568,255.0,1571.0,1520.0,506.0,222.0,4079.0,6.3,52.0999984741211,43.4,0.0,0.0,3.0,59.0,,,Glenelg,1.1,8,5,5,2
WOLLERT,176.0,24407.0,11.0,1.0,0.0,12.0,843.0,1.0154,136.0,2091.0,3684.0,870.0,354.0,7144.0,1.9,69.3000030517578,19.0,0.0,0.0,4.0,37.0,,,Whittlesea,0.49,6,5,4,2
KANGAROO FLAT,180.0,11328.0,10.0,2.0,0.0,12.0,638.0,0.8937,299.0,1922.0,1588.0,527.0,238.0,4572.0,6.5,50.5,43.6,0.0,1.0,3.0,67.0,,,Greater Bendigo,1.06,4,3,2,1
SUNBURY,27.0,38851.0,10.0,0.0,0.0,10.0,854.0,0.9536,537.0,4213.0,5806.0,2126.0,1294.0,13972.0,3.8,66.4000015258789,37.9,0.0,1.0,9.0,239.0,1.0,1.0,Hume,0.26,14,9,9,3
WARRAGUL,159.0,19856.0,10.0,2.0,0.0,12.0,754.0,0.9091,361.0,2545.0,2978.0,968.0,574.0,7419.0,4.9,59.2999992370606,42.9,0.0,1.0,6.0,85.0,,,Baw Baw,0.6,9,4,4,2
IRYMPLE,1.0,5977.0,9.0,1.0,0.0,10.0,763.0,1.0179,37.0,477.0,825.0,384.0,274.0,2001.0,1.8,62.7999992370606,36.2,0.0,0.0,2.0,21.0,,,Mildura,1.67,5,3,2,1
BAIRNSDALE,184.0,7905.0,9.0,2.0,0.0,11.0,634.0,0.8801,269.0,1352.0,1097.0,348.0,159.0,3218.0,8.4,51.2000007629395,40.7,0.0,1.0,7.0,30.0,,,East Gippsland,1.39,8,4,4,2
HOPPERS CROSSING,790.0,37216.0,9.0,4.0,0.0,13.0,691.0,1.0084,619.0,4294.0,4710.0,1727.0,1053.0,12397.0,5.0,59.7999992370606,22.5,0.0,0.0,12.0,176.0,1.0,1.0,Melton,0.35,9,8,5,1
PRESTON,286.0,33790.0,9.0,0.0,6.0,15.0,872.0,0.9448,1744.0,6449.0,3887.0,951.0,435.0,13475.0,12.9,67.4000015258789,24.0,14.0,0.0,16.0,165.0,2.0,1.0,Darebin,0.44,9,7,6,2
SHEPPARTON,254.0,32067.0,9.0,0.0,1.0,10.0,678.0,0.9496,800.0,4681.0,4190.0,1339.0,680.0,11694.0,6.8,54.0,32.1,0.0,1.0,10.0,272.0,,,Greater Shepparton,0.31,12,7,6,3
SUNSHINE,131.0,9445.0,9.0,0.0,0.0,9.0,706.0,1.0666,403.0,1469.0,1011.0,279.0,119.0,3287.0,12.3,60.5,17.0,0.0,1.0,16.0,94.0,1.0,1.0,Brimbank,0.95,5,4,4,0
SWAN HILL,107.0,11186.0,9.0,0.0,0.0,9.0,754.0,0.9088,319.0,1495.0,1667.0,528.0,253.0,4253.0,7.5,59.7999992370606,37.3,0.0,1.0,3.0,41.0,,,Gannawarra,0.8,7,4,4,2
ALTONA,130.0,11490.0,8.0,1.0,0.0,9.0,947.0,0.9079,417.0,2085.0,1674.0,394.0,182.0,4754.0,8.8,62.7000007629395,32.1,0.0,0.0,4.0,64.0,2.0,1.0,Hobsons Bay,0.78,4,2,2,1
MERNDA,80.0,23369.0,8.0,0.0,0.0,8.0,879.0,0.9587,151.0,2458.0,3535.0,910.0,395.0,7449.0,2.0,71.0,21.0,0.0,0.0,8.0,80.0,1.0,1.0,Nillumbik,0.34,5,3,3,0
PASCOE VALE,172.0,18171.0,8.0,0.0,0.0,8.0,978.0,0.932,545.0,3217.0,2443.0,574.0,274.0,7045.0,7.7,68.0999984741211,21.3,0.0,0.0,7.0,67.0,1.0,1.0,Moreland,0.44,5,4,4,1
PORT MELBOURNE,679.0,17633.0,8.0,1.0,0.0,9.0,1366.0,0.9177,930.0,4152.0,2177.0,353.0,111.0,7724.0,12.0,67.0999984741211,32.6,9.0,0.0,5.0,96.0,,,Melbourne,0.51,3,3,1,1
SOUTH MORANG,177.0,24989.0,8.0,0.0,0.0,8.0,824.0,0.9671,200.0,2268.0,3453.0,1220.0,797.0,7938.0,2.5,69.0,18.8,0.0,0.0,6.0,92.0,3.0,1.0,Whittlesea,0.32,4,2,1,1
BALLARAT,0.0,,7.0,0.0,0.0,7.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,Ballarat,,9,5,6,2
BENALLA,96.0,10822.0,7.0,0.0,0.0,7.0,645.0,0.9049,299.0,1725.0,1589.0,554.0,303.0,4468.0,6.7,49.5,42.7,0.0,1.0,3.0,52.0,,,Greater Shepparton,0.65,5,1,1,1
BERWICK,524.0,50298.0,7.0,3.0,0.0,10.0,852.0,0.948,476.0,4733.0,7374.0,2474.0,1414.0,16470.0,2.9,66.9000015258789,29.1,0.0,1.0,16.0,222.0,1.0,1.0,Casey,0.2,12,9,7,3
BUNDOORA,729.0,28068.0,7.0,5.0,1.0,13.0,690.0,1.0303,655.0,3539.0,3724.0,1264.0,697.0,9880.0,6.6,60.9000015258789,18.9,0.0,0.0,16.0,110.0,,,Darebin,0.46,7,4,3,2
ECHUCA,187.0,15056.0,7.0,0.0,1.0,8.0,710.0,0.9183,375.0,2077.0,2186.0,765.0,409.0,5817.0,6.4,56.9000015258789,42.9,0.0,1.0,6.0,64.0,,,Campaspe,0.53,8,5,4,2
EPPING,1114.0,33489.0,7.0,1.0,0.0,8.0,709.0,0.9924,459.0,3580.0,4354.0,1399.0,732.0,10526.0,4.4,60.7000007629395,14.3,0.0,0.0,12.0,164.0,1.0,1.0,Whittlesea,0.24,9,6,5,3
GLENROY,516.0,23792.0,7.0,0.0,0.0,7.0,759.0,1.0,897.0,3846.0,2728.0,641.0,357.0,8467.0,10.6,60.0,16.1,0.0,0.0,7.0,80.0,2.0,1.0,Moreland,0.29,7,5,4,1
GREENVALE,171.0,21274.0,7.0,1.0,0.0,8.0,796.0,0.9961,94.0,1188.0,2860.0,1225.0,889.0,6255.0,1.5,66.0999984741211,20.7,0.0,0.0,3.0,79.0,,,Hume,0.38,6,3,4,1
KEW,806.0,24499.0,6.0,1.0,5.0,12.0,1120.0,0.9251,553.0,3667.0,3398.0,905.0,444.0,8969.0,6.2,63.5999984741211,29.1,72.0,0.0,9.0,70.0,,,Boroondara,0.49,11,1,2,0
KEYSBOROUGH,611.0,30018.0,7.0,1.0,0.0,8.0,728.0,0.9888,338.0,2235.0,4035.0,1538.0,860.0,9009.0,3.8,63.0999984741211,19.0,0.0,0.0,8.0,123.0,,,Greater Dandenong,0.27,6,2,3,0
LANGWARRIN,107.0,23588.0,7.0,0.0,0.0,7.0,868.0,0.9475,219.0,2476.0,3573.0,1304.0,884.0,8449.0,2.6,68.5999984741211,45.0,0.0,0.0,6.0,86.0,,,Frankston,0.3,5,4,4,1
MARYBOROUGH,63.0,8160.0,7.0,0.0,0.0,7.0,511.0,0.9194,277.0,1571.0,1145.0,360.0,190.0,3544.0,7.8,42.7000007629395,45.9,0.0,1.0,5.0,83.0,,,Mount Alexander,0.86,3,1,1,1
